model_name,model_type,quantization,batch_size,elapsed_time,accuracy,precision,recall,f1
resnet18,pytorch,none,64,16.100557327270508,0.5242954324586978,0.5570517099901872,0.5242954324586978,0.5197525137470683
resnet18,pytorch,fp16_automatic,64,14.771989107131958,0.5247813411078717,0.5576241560945433,0.5247813411078717,0.5202210139657065
resnet18,pytorch,none,64,14.474554061889648,0.5,0.4666666666666667,0.5,0.4583333333333333
resnet18,pytorch,fp16_automatic,64,14.082302570343018,0.5,0.4666666666666667,0.5,0.4583333333333333
resnet18,pytorch,none,128,14.021119832992554,0.5,0.4666666666666667,0.5,0.4583333333333333
resnet18,pytorch,fp16_automatic,128,13.286225318908691,0.5,0.4666666666666667,0.5,0.4583333333333333
resnet18,trt,FP16,128,16.43550705909729,0.5245383867832848,0.5572218915498254,0.5245383867832848,0.519924095409489
resnet18,trt,FP16,128,16.193665504455566,0.010689990281827016,0.10468588261027795,0.010689990281827016,0.006669958846638835
resnet18,trt,FP16,1,17.161300659179688,0.5247813411078717,0.55734658637526,0.5247813411078717,0.5201149069589385
resnet18,trt,none,1,19.394808053970337,0.5157920310981535,0.5504880422351384,0.5157920310981535,0.5134684028139994
resnet18,trt,none,8,16.53209900856018,0.01020408163265306,0.0019339287263354654,0.01020408163265306,0.001881176767322839
resnet18,trt,none,64,14.952445268630981,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,trt,none,64,14.9745614528656,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,trt,none,64,15.417376518249512,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,trt,none,8,14.996448516845703,0.01020408163265306,0.0019339287263354654,0.01020408163265306,0.001881176767322839
resnet18,trt,none,64,15.083050727844238,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,trt,none,8,14.327813148498535,0.01020408163265306,0.0019339287263354654,0.01020408163265306,0.001881176767322839
resnet18,trt,none,64,14.695354461669922,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,trt,int8,8,14.743101119995117,0.01020408163265306,0.0019339287263354654,0.01020408163265306,0.001881176767322839
resnet18,trt,int8,64,15.536099195480347,0.006802721088435374,0.00042441877434272614,0.006802721088435374,0.0005256981282888092
resnet18,trt,int8,16,14.625197649002075,0.007774538386783284,0.0007145804638407643,0.007774538386783284,0.0011604706563352503
resnet18,trt,int8,8,14.491219282150269,0.01020408163265306,0.0019339287263354654,0.01020408163265306,0.001881176767322839
resnet18,trt,FP16,64,14.757894515991211,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,trt,int8,8,14.800648212432861,0.8119533527696793,0.8261436298748507,0.8119533527696793,0.8110141047630972
resnet18,trt,FP16,64,14.840682744979858,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,trt,int8,8,14.922911643981934,0.8119533527696793,0.8261436298748507,0.8119533527696793,0.8110141047630972
resnet18,trt,FP16,64,14.880394458770752,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,trt,int8,8,14.902793169021606,0.8119533527696793,0.8261436298748507,0.8119533527696793,0.8110141047630972
resnet18,trt,FP16,64,15.091581106185913,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,trt,int8,8,14.605394840240479,0.8119533527696793,0.8261436298748507,0.8119533527696793,0.8110141047630972
resnet18,trt,FP16,64,14.815163612365723,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
