model_name,model_type,quantization,batch_size,elapsed_time_rounded,elapsed_time,accuracy,precision,recall,f1
resnet18,pytorch,fp32,1,27.18,27.18,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,1,32,31.99632859,0.524781341,0.557478602,0.524781341,0.520163824
resnet18,pytorch,fp32,2,20.94,20.94176316,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,2,23.93,23.92964888,0.524781341,0.557386772,0.524781341,0.520105782
resnet18,pytorch,fp32,4,19.47,19.47186899,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,4,19.98,19.97580099,0.524781341,0.557472796,0.524781341,0.520150237
resnet18,pytorch,fp32,8,18.28,18.2841115,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,8,17.51,17.51318526,0.524781341,0.557472796,0.524781341,0.520150237
resnet18,pytorch,fp32,16,17.09,17.09344149,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,16,15.82,15.81695294,0.524538387,0.557303411,0.524538387,0.519974971
resnet18,pytorch,fp32,32,16.07,16.06694508,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,32,15.3,15.2977941,0.524781341,0.557624156,0.524781341,0.520221014
resnet18,pytorch,fp32,1,25.52,25.52315164,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,1,27.65,27.64798665,0.524781341,0.557478602,0.524781341,0.520163824
resnet18,pytorch,fp32,64,15.97,15.96573687,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,64,14.97,14.97055125,0.524781341,0.557624156,0.524781341,0.520221014
resnet18,pytorch,fp32,128,17.16,17.15657496,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,128,16.79,16.79243803,0.524781341,0.557624156,0.524781341,0.520221014
resnet18,pytorch,fp32,256,16.95,16.95003366,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,256,16.36,16.35711575,0.524781341,0.557624156,0.524781341,0.520221014
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
pytorch vs trt,,,,,,,,,
,,,,,,,,,
model_name,model_type,quantization,batch_size,elapsed_time_rounded,elapsed_time,accuracy,precision,recall,f1
resnet18,pytorch,fp32,64,15.97,15.96573687,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,64,14.97,14.97055125,0.524781341,0.557624156,0.524781341,0.520221014
resnet18,trt,FP16,128,16.44,16.43550706,0.524538387,0.557221892,0.524538387,0.519924095
resnet18,trt,FP16,1,17.16,17.16130066,0.524781341,0.557346586,0.524781341,0.520114907
resnet18,trt,fp32,1,19.39,19.39480805,0.515792031,0.550488042,0.515792031,0.513468403
,,,,,,,,,
pytorch vs pytorch with memory optimization,,,,,,,,,
,,,,,,,,,
model_name,model_type,quantization,batch_size,elapsed_time_rounded,elapsed_time,accuracy,precision,recall,f1
resnet18,pytorch_mem optim,fp32,64,14.47,14.47455406,0.5,0.466666667,0.5,0.458333333
resnet18,pytorch_mem optim,fp16,64,14.08,14.08230257,0.5,0.466666667,0.5,0.458333333
resnet18,pytorch_mem optim,fp32,128,14.02,14.02111983,0.5,0.466666667,0.5,0.458333333
resnet18,pytorch_mem optim,fp16,128,13.29,13.28622532,0.5,0.466666667,0.5,0.458333333
resnet18,pytorch,fp32,64,15.97,15.96573687,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,64,14.97,14.97055125,0.524781341,0.557624156,0.524781341,0.520221014
resnet18,pytorch,fp32,128,17.16,17.15657496,0.524295432,0.55705171,0.524295432,0.519752514
resnet18,pytorch,fp16,128,16.79,16.79243803,0.524781341,0.557624156,0.524781341,0.520221014
